LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,TARGET_DEFAULT
49583,2,3,2,38,-2,0,0,-2,0,0,7767,8903,-763,5698,14758,473,557,675,2780,84,139,2330,0
143778,1,1,2,23,1,-2,-2,-2,-2,-2,-634,649,-1688,-1856,-1347,-264,1878,4602,3,236,0,389,0
60743,2,3,2,34,1,2,2,0,0,0,79183,73324,65858,58573,73140,30325,2495,102,2173,1529,587,4095,0
47612,1,3,0,53,1,0,-2,0,0,-2,-694,1322,66,-1545,-1305,-401,1018,470,653,1481,0,530,0
59881,2,1,1,42,6,1,3,3,2,4,39628,97142,68243,45363,120815,119657,1882,0,1230,159,2408,564,0
303113,1,1,2,33,-2,-2,-2,-2,-2,-2,-238,1403,-391,-375,-1231,883,0,0,0,460,6775,11597,0
40891,1,3,2,25,2,0,0,0,0,5,50195,57037,18746,43841,13706,40517,843,0,349,113,0,715,1
146771,2,3,3,41,-2,-1,-2,-1,-2,-2,-1663,26632,133,25438,-667,-543,879,5254,5608,15207,119,10354,0
151445,2,2,1,26,0,0,0,0,0,0,191307,159290,296765,288799,212849,236595,12714,6035,8032,236,9611,7939,0
23809,1,3,1,23,4,2,3,3,2,2,46156,44746,20503,44688,40453,55654,353,0,0,764,1070,1696,1
15743,1,3,2,38,4,-1,3,2,2,0,28220,42052,13486,24709,63571,20881,1358,5206,0,5530,1150,231,1
249289,1,6,2,51,2,-1,0,0,0,0,12671,10090,5620,2503,8700,12116,857,534,4753,2301,2880,5796,0
47169,2,3,2,38,0,0,0,0,0,0,26480,80279,31046,44218,30771,31791,3380,2554,1204,1356,973,1691,0
150665,1,3,2,40,-1,-1,-1,-1,-1,-1,-1025,1650,-11,2256,10548,9887,426,606,865,12866,10630,6766,0
311529,1,2,1,59,0,0,-2,0,0,0,2285,140349,1436,26316,915,733,3196,77,1063,339,189,1196,0
141243,1,1,2,51,2,2,2,2,2,2,55586,58931,29414,53486,279470,56065,2265,502,1851,427,1088,72,0
166662,1,1,2,43,-2,-2,-2,-2,-2,-2,-1716,-1461,-698,-505,-521,-250,1546,0,752,224,0,477,0
14517,2,3,2,49,0,0,0,0,0,0,50223,38516,48471,30966,21346,12272,3926,1197,5474,983,559,7186,0
217875,2,3,2,35,7,4,4,4,3,2,185847,127705,109329,95146,235593,136834,1056,0,716,327,3501,439,0
281269,2,3,1,38,-1,-1,-1,-1,-1,0,13936,5470,9339,7901,20643,15692,2869,13815,1263,9057,23513,5357,0
346753,2,2,1,33,0,-1,2,0,0,0,22457,33121,12803,14187,2484,33854,640,1127,3062,636,3025,5052,0
72331,2,3,1,23,4,2,3,4,2,2,40278,145290,107847,134726,167907,152648,2010,128,0,11,121,240,0
47124,1,1,2,41,1,-2,-2,-2,-2,-2,-724,1004,327,440,-1714,-1342,522,0,0,319,86,220,1
86077,2,2,2,36,-1,-1,-1,-1,-1,-1,9021,431728,-806,1600,114975,8061,1851,154,339,12570,28100,8545,1
49238,2,3,0,28,1,-1,-1,-1,0,0,1072,2276,-849,248,-1292,615,5249,620,574,1390,888,176,0
44506,1,2,2,39,0,0,0,0,0,0,28985,61415,21311,28944,28364,35023,0,370,286,667,1041,1340,0
273429,2,3,0,43,-2,-1,-1,-1,-1,-1,1507,403554,916,232,11360,456524,7513,2444,594,15672,11475,6001,0
46114,1,3,2,55,-1,-1,-1,-1,-1,-1,819,944,-1981,-1510,-472,-222,602,0,1314,35,157,293,1
89904,2,3,3,43,1,0,0,0,0,0,2590,16694,23251,43542,13455,52855,742,1340,653,2287,3085,2215,0
45911,1,1,3,37,-2,-2,-2,-2,-2,-2,326,-633,-7,-604,-1749,-199,1799,192,581,450,7614,120,0
285075,1,3,2,34,0,0,0,0,0,0,181157,262134,133087,177628,193402,130654,15211,7938,425,6329,6593,15073,0
149501,2,3,2,33,-2,-2,-2,-2,-2,-2,-183,1862,2531,231,-592,1829,0,0,3679,399,5433,69,0
51930,1,3,2,37,8,7,6,5,4,3,41078,106227,20507,99362,131163,251090,0,0,0,126,0,76,0
286329,1,1,1,24,-2,-1,-2,-1,-2,-2,8730,905,-1929,-2181,-2045,526,7564,0,44,12415,8995,332,0
481506,1,1,1,38,0,0,0,0,0,0,254210,199206,137592,193126,209872,207798,3041,6026,15863,15246,36292,34843,0
50069,1,2,1,35,0,0,0,-2,0,-2,1229,520,-886,-450,580,308,391,0,490,275,0,654,0
203063,1,2,1,42,0,0,0,0,0,0,157314,217920,90374,150226,292288,123024,1036,6887,2279,477,28223,2119,0
192985,2,3,1,50,2,2,3,4,2,5,33757,136433,129367,148166,193525,99197,1820,785,597,115,3349,2537,0
271048,1,3,1,43,0,0,0,0,0,0,8878,15598,68407,3400,17324,66080,15067,4780,6216,5709,5898,221,0
16851,1,3,2,28,1,2,-1,-1,-1,-1,12643,14961,10365,3779,9903,13464,4101,675,17224,4049,3223,412,0
170612,1,3,2,39,-1,-1,-1,-1,-1,-1,1180,1689,-875,115,12636,883,0,273,290,149,7553,368,0
163363,2,1,1,30,-1,-1,-1,-1,-1,-1,20383,600,110,-1532,1418,10523,3091,46123,159,1341,9604,2547,0
195423,2,1,1,39,-2,-2,-2,-2,-2,-2,-1559,595,208,-1697,-405,-1806,0,0,0,424,0,222,0
69781,1,3,2,49,0,2,2,0,0,0,32385,105218,69682,45783,57618,136348,2300,110,656,1615,510,3101,0
181954,2,1,1,36,3,2,0,3,3,2,33160,57906,61249,59836,86051,44959,0,0,850,218,2105,2870,0
15981,1,2,2,35,2,2,2,2,-1,0,29378,11779,10969,2455,7404,25035,0,5532,3647,0,657,2630,1
16349,2,3,1,37,2,5,2,6,2,4,14525,17768,18438,9288,25013,28524,28,73,1287,6598,0,434,0
180307,2,1,2,35,0,0,0,0,0,0,46395,21989,20436,6637,-865,1623,2846,0,3685,879,1560,548,0
182411,1,1,2,51,-2,-2,4,6,3,0,212841,453984,101120,239192,87582,157541,12569,432,2260,0,0,36190,0
129583,2,2,2,31,0,0,0,0,0,0,26222,54651,28791,49766,60735,76365,1559,2615,3401,1525,320,1175,0
56818,2,2,2,29,-1,-1,-1,-1,0,0,8921,5188,7431,7835,14232,10778,1218,709,6846,35794,1800,2626,0
10000,1,3,2,23,2,5,3,2,0,3,40124,57160,21826,34745,18265,41263,0,0,0,0,83,3961,0
48438,2,1,2,39,7,0,4,4,0,0,162166,164433,127763,85386,82773,190880,2957,4687,7416,202,4082,568,1
347151,1,2,2,38,0,0,0,0,0,0,9542,9086,646,6981,12204,228309,2841,613,3245,426,33370,5017,0
181779,1,1,2,33,-2,-2,-2,-2,-2,-2,-889,13230,10808,13224,6153,7958,1536,91304,2052,573,46416,9135,0
17831,1,1,1,58,4,5,5,4,2,3,157037,300496,133070,98236,1513,35043,1675,0,501,0,0,0,0
206177,2,1,1,33,1,0,-2,-2,0,-2,-3184,175,1304,-46,1292,414,0,307,0,0,1412,100,0
44371,2,3,1,28,1,2,3,0,2,2,21843,53253,30355,10402,9051,56747,1702,466,509,1997,1280,2184,0
173594,2,2,2,33,3,-2,-2,-2,-2,-2,-944,880,498,-288,-593,-187,0,0,0,1973,0,162,0
242511,2,2,1,44,0,0,0,0,0,0,245398,223713,146894,165907,292193,175596,6486,67,5633,13667,8053,16073,0
168817,1,3,2,32,-2,-2,-2,-2,-2,-2,-2172,1373,-133,-923,-2112,1333,358,0,0,348,0,336,0
469330,1,1,1,36,0,0,4,-1,3,2,171353,220182,79697,226994,111531,160743,47268,969,11807,59,14896,18682,0
351293,2,3,1,43,0,0,0,0,0,0,4188,13866,12541,6767,8996,-74,6100,299,5103,378,1229,64910,0
48694,1,3,1,38,0,5,4,4,4,3,31103,87473,57687,96575,48734,58817,1735,0,1471,465,1059,942,0
346155,2,3,3,35,1,-2,0,0,0,0,35353,48220,35110,10778,42872,13772,6959,624,2510,2914,195,5621,0
155558,1,3,1,53,2,5,4,4,2,2,177624,215180,185431,226245,135319,122095,5197,203,0,0,136,546,1
16033,2,2,1,24,1,2,4,3,2,3,6051,16874,893,4336,14651,10419,0,0,0,0,1542,66,0
137320,2,3,2,29,0,2,5,0,0,0,188053,211511,128883,98444,273847,143622,2131,5225,14830,4457,11242,42119,1
159633,1,1,2,25,0,0,0,0,0,0,29972,8265,451,2562,138335,9897,6315,31,744,1054,3849,2388,0
486610,1,1,1,36,0,0,0,-1,0,0,5345,213811,13914,149341,16361,165529,6322,6403,27481,11575,5067,11867,0
416502,2,2,1,31,-2,-2,-2,-2,-2,-2,10,2368,2488,-1015,836,1636,1719,302,1983,342,19759,31895,0
52060,1,1,2,31,1,5,4,2,0,4,140676,3579,36487,1983,39035,46311,2035,268,1361,296,1705,565,0
47658,1,2,2,36,3,2,7,7,7,7,-1020,4560,2388,1626,1872,1580,0,0,0,382,0,56,1
131331,2,2,1,55,-1,-1,-1,-1,-1,-1,-360,884,-1061,-3281,-1030,1094,386,2722,744,26173,1255,2434,0
46610,2,3,1,36,-1,-1,-1,-1,-1,-1,2380,9138,-49,2287,876,20914,2608,4275,2271,2025,947,2158,0
166087,2,1,2,34,0,-1,0,0,0,0,29950,56792,24489,66432,51184,53242,2464,3764,2354,1773,819,6325,0
359930,1,1,2,42,-2,-2,-2,-2,-2,-2,-1339,-995,-1780,-1756,-1527,458,11906,0,381,248,153,6348,0
73751,1,1,2,38,-2,-2,-1,-1,-1,-2,-580,-338,737,-1894,-772,415,447,0,10762,0,0,1851,0
158304,1,1,2,49,1,-2,-2,-1,-1,-1,-1001,17,-824,5956,3540,17343,285,633,7639,2060,8243,902,0
12915,1,2,2,26,1,4,3,3,2,3,15237,16854,44641,18200,43431,20031,15,0,0,672,1142,1707,1
48741,2,3,2,29,2,4,3,3,2,0,29462,49144,54885,23304,26434,38666,0,197,1277,1421,525,163,0
259341,1,1,1,25,7,3,3,0,3,8,118643,248909,170796,22911,15156,1991,2348,527,0,707,0,292,1
349308,2,5,1,36,0,0,0,0,0,0,46318,148732,127879,59095,85422,119363,2578,3533,2381,6041,8844,7085,0
46150,1,2,2,34,0,0,0,0,0,0,47128,7604,4191,22711,11413,19813,804,519,4099,2683,2970,4769,0
59686,2,2,2,43,2,0,4,0,2,0,40225,102548,74647,58100,59053,75133,2376,3275,2899,190,3232,2033,0
45898,2,2,1,34,0,0,0,0,0,0,56941,49359,30758,39457,28434,42139,1434,1430,934,1406,1162,2262,0
139060,1,3,2,32,1,0,2,0,0,0,44696,40688,54501,71525,23504,4945,7031,628,2229,0,1391,324,1
16478,2,2,1,37,1,2,4,2,2,2,6973,16849,42437,14555,-1854,35201,0,632,0,1711,898,760,0
231600,1,3,1,27,1,-2,-2,-2,-2,0,-1953,-25,-1063,-19,-1318,-1227,283,5068,0,86,2431,0,0
394234,1,3,2,44,4,5,0,4,5,-1,213543,153648,238343,129760,108360,81393,2036,50608,2499,39,3782,17524,0
157968,1,1,1,36,1,-2,-2,-2,-2,-2,-2026,865,-1849,-1308,-1772,-1048,0,0,0,343,20,0,0
204839,1,1,2,27,0,0,0,0,0,0,118489,147641,134245,156778,50684,143799,4084,8502,2971,18111,5417,5274,0
45656,2,3,2,32,0,0,0,0,0,0,9149,10218,10184,5473,18023,41871,650,615,7109,1933,1434,2780,0
14661,1,1,2,41,-2,-1,-1,-1,-1,-1,38599,1322,106127,1940,567,-456,8705,4235,2287,0,11085,2297,0
148134,1,1,2,57,-1,2,-1,-1,-1,-1,46133,361060,41326,16957,17346,892,2595,9065,1962,927,3151,7289,0
42237,1,3,2,33,3,2,2,2,2,2,26392,16106,16528,18177,14916,19147,712,450,254,309,2949,0,0
144552,2,3,2,40,7,2,5,4,3,0,181026,149189,130790,120609,157016,381402,1471,88,854,73,259,2650,1
335517,2,2,2,42,0,0,0,0,0,0,28400,9191,16465,76362,27635,7888,3780,2078,0,1661,850,4223,1
48516,2,2,2,24,0,0,0,0,0,0,34577,42923,43608,37816,6670,21050,5741,829,1844,2265,1345,2536,1
46163,1,3,2,47,2,0,0,0,0,0,8747,8622,-1464,4494,12155,-354,3179,0,6004,1557,635,348,1
79013,1,3,1,30,0,0,0,0,0,0,4788,90590,47564,68191,38412,78184,2339,650,6871,2237,2041,2089,1
179489,1,1,2,46,1,-2,-2,-2,-2,-2,-1124,1642,-20,-1032,-282,-226,0,0,1446,15158,159,11172,1
48147,1,1,2,38,4,3,2,2,2,2,55799,43823,34673,42722,47879,154728,0,191,800,1064,1540,2764,0
170384,1,3,2,32,0,0,0,0,0,0,40880,243157,161865,9944,41841,37872,1360,3464,5653,21,1589,2793,0
21842,1,3,1,28,1,2,2,2,2,0,13981,19591,-1778,10841,12214,12336,953,497,5187,343,1942,3410,1
188722,2,1,2,27,-2,-2,-2,-2,-2,-2,-2703,1025,342,-790,-1843,657,401,0,0,2299,206,2004,0
22257,1,5,1,53,1,-1,0,0,0,0,8128,14162,14341,7495,19274,46941,3372,7924,20,6410,1596,1580,1
20692,1,2,2,30,0,0,-1,0,0,0,14049,946,42921,14834,18786,41800,2395,323,918,2627,1376,244,0
69355,2,3,1,24,8,7,6,5,4,3,20885,56630,27786,8080,6770,26672,0,0,0,77,0,0,0
202226,1,2,2,44,0,0,0,0,0,0,16980,275305,251006,72556,100950,18461,0,1576,616,0,15514,230,1
179753,1,1,1,29,7,2,2,8,5,-2,19033,-1230,17366,-1256,3538,1015,0,0,306,555,460,239,0
164886,1,1,2,48,2,3,3,3,3,3,172955,14192,48571,11776,40256,24199,2318,1240,42,94,274,545,1
61508,1,2,2,50,1,3,4,5,4,3,12959,42811,37083,106443,38470,1884,0,0,0,0,0,460,0
211933,2,1,2,26,2,0,2,0,0,0,43792,11724,32741,26513,32571,7553,3806,0,6923,2297,1467,5897,0
133406,1,3,2,36,1,-2,-2,-2,-2,-2,142,1383,-817,-1919,-730,957,0,488,0,14402,0,277,0
279109,1,3,2,35,-1,-1,-1,-1,-1,-1,-463,1217,-2030,6017,-946,795,0,146,3249,0,855,3138,0
120907,1,1,2,30,-1,-1,-1,-1,-1,0,13010,66281,7832,12872,16217,51096,415,7892,3271,37850,2398,741,0
116151,2,2,2,33,0,0,0,0,0,0,65769,92638,86080,57540,48866,105955,4538,6045,2642,2642,996,3171,0
150165,1,3,1,43,-1,-1,-1,-1,-1,-1,1257,99,-1459,-1680,12950,124,2720,0,215,0,24,1603,0
156378,1,3,2,27,5,-1,-1,2,-1,0,12987,15674,15249,7399,19784,17788,364,682,301,3538,2005,42236,1
344884,1,1,2,31,0,0,0,0,0,0,187574,393516,291812,194455,196392,140482,3756,8168,7250,39867,10038,17802,0
157649,2,1,2,46,-2,-2,-2,-2,-2,-2,24,1488,1514,-1123,-632,-78,300,0,0,1816,191,643,0
46973,1,3,2,54,0,2,0,0,0,6,69,14402,-930,-1310,-1337,-74,401,611,0,1976,3409,407,1
39753,1,3,1,29,0,3,2,8,0,-1,-718,2672,1826,997,1747,1212,891,703,0,1749,775,414,0
44567,2,3,2,39,3,2,8,4,2,2,2319,1271,832,1470,39777,1223,86,0,0,1541,0,513,0
257055,1,1,2,26,0,0,0,0,0,0,218117,184371,152028,162233,119123,216381,1739,9042,9429,17167,10958,4228,0
204319,2,1,2,37,0,0,0,0,0,0,167255,357985,36952,201403,354,39605,3451,8633,6738,704,8305,553,0
168532,2,3,2,39,0,0,0,0,0,0,158135,131066,355565,9180,73814,157929,3869,156,1701,222,27333,592,1
55166,1,3,2,46,5,2,2,2,2,0,36717,69621,40817,38617,36824,40122,1516,0,0,971,682,4370,0
92049,2,1,2,32,0,0,0,0,0,0,135408,92816,65902,73331,76264,99493,2723,2726,2806,2156,5121,8752,0
14846,2,1,2,26,-2,1,3,4,-2,-2,569,212,-613,-842,-655,-168,235,0,0,45,81,297,1
46633,1,3,1,22,2,2,2,3,2,2,15901,32793,-591,8892,12535,19727,0,781,4313,0,1250,413,1
161810,2,1,2,23,1,0,0,0,0,-2,5736,11114,6153,-220,636,655,308,543,11,220,0,324,0
69377,2,1,2,31,1,-1,0,-1,-1,-1,34731,18262,35437,39466,85395,39740,2084,3563,6625,1626,2726,6835,0
184404,2,1,0,43,-1,-1,-1,-1,-1,-1,1531,2937,119,6526,9474,-1144,987,691,5038,7945,1607,282,0
398284,1,1,2,40,-1,-1,-1,-1,-1,-1,-1703,7472,1609,2959,-3371,2213,4677,3773,10281,15847,13462,14220,0
191444,1,2,2,26,0,2,0,0,0,0,217042,66374,21306,66568,30739,37332,575,0,4026,272,3324,2585,1
166112,2,1,2,47,-1,-1,-1,-1,-1,-1,-1060,2831,-961,160,-403,739,0,453,0,1449,84,2646,0
184481,1,2,2,27,-2,-2,-2,-2,-2,-2,-2306,-1323,-1566,-978,-2377,-710,0,0,0,719,0,154,0
161222,1,3,1,48,-1,-1,-1,-1,-1,-1,628,3354,1990,-29,1328,2959,0,0,5116,2473,245,606,0
194208,1,2,1,35,0,0,0,0,0,0,74985,65126,33272,37172,37104,42483,4980,1353,105,1546,225,6654,0
44481,1,3,2,39,4,2,5,4,2,3,79901,103982,29864,37307,131920,54976,0,475,1215,285,646,2039,1
83529,2,5,2,26,0,0,0,0,0,0,77621,39402,64297,80810,25917,43244,2978,646,3154,1094,1921,2299,0
48830,1,3,2,28,2,2,2,2,2,3,40148,58268,55338,54257,34431,45685,0,764,0,2233,1003,1440,0
144908,1,3,2,48,2,2,-1,7,7,6,-481,2561,3129,72,1219,2603,0,0,0,165,0,189,0
21888,2,3,1,26,0,0,-1,2,0,0,11516,20739,869,17517,6987,13943,1254,6854,5143,65,1761,245,1
473280,1,3,1,27,-2,-1,-1,-1,-1,-1,240143,361380,23216,11084,18286,25639,17682,8168,7531,34608,9510,14463,0
64927,1,3,2,32,0,2,2,2,2,0,33512,95992,70494,71199,78361,71491,2294,1734,3483,2915,1586,3406,0
465236,1,2,2,44,0,-1,0,0,0,0,102597,14238,12799,8304,172,22896,7944,7174,8204,25979,11261,5759,0
71297,2,2,1,26,0,0,0,0,0,0,231709,57438,26150,245950,85848,37369,3440,1394,6993,5086,1331,2289,0
280830,2,0,2,46,0,1,-1,4,0,5,29247,8148,8477,91735,11353,182988,1824,1001,0,1430,16,52,0
44088,1,3,1,51,-1,-1,-1,-1,-1,-1,6490,6079,1072,17940,8653,16532,2694,3437,13457,18035,9471,2066,0
38493,2,3,2,22,0,0,0,0,0,0,40059,19374,17365,32474,9442,898,759,406,0,1578,2485,1575,0
76331,2,3,3,52,0,0,0,0,0,0,82116,13486,43086,45234,18680,44626,4283,446,389,2539,865,6977,0
40881,2,3,2,31,2,2,2,4,2,4,26795,62077,23107,54470,129483,40394,0,1336,2433,884,808,2046,1
10000,1,2,2,39,3,2,2,7,7,7,-407,-157,-566,723,-976,451,0,0,0,2350,669,475,1
10000,1,1,2,22,1,3,3,7,2,7,13657,15396,7789,4807,16136,27529,0,538,113,996,625,434,1
66832,1,2,1,34,0,0,0,0,0,0,160573,166187,66814,72215,107535,128436,1596,109,2625,1910,4367,2408,0
58218,1,1,2,34,0,0,0,0,0,0,161597,138788,109771,135211,187869,120186,9656,8798,7033,5464,6796,6720,0
166124,1,6,2,39,0,0,2,2,0,2,159919,147476,151334,20854,77317,73371,2920,8585,6037,29841,3756,2006,0
11106,2,3,1,46,8,4,6,3,4,5,29213,34222,26453,31243,46287,54668,176,5256,629,0,1161,422,0
